Song Name,Artist,Genre
Little Bad Girl,"David Guetta, Taio Cruz, Ludacris","big room,dance pop,edm,pop,pop dance,dance pop,pop,pop rap,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap"
Beating Heart,Ellie Goulding,"indietronica,metropopolis,pop,uk pop"
Coming Home,"Diddy - Dirty Money, Skylar Grey","pop rap,piano rock,viral pop"
A Cowboy's Work Is Never Done,Sonny & Cher,"adult standards,bubblegum pop,folk,folk rock,mellow gold,rock-and-roll,rockabilly,singer-songwriter,soft rock"
Dancing In The Storm,Boom Crash Opera,australian rock
Wasting My Time,Default,"alternative metal,canadian rock,post-grunge"
Make It with You,Bread,"folk rock,mellow gold,singer-songwriter,soft rock"
Supermassive Black Hole,Muse,"modern rock,permanent wave,rock"
Chained To You,Savage Garden,"boy band,dance pop,pop rock"
More Than You Know,Axwell /\ Ingrosso,"edm,pop dance,progressive electro house"
Thong Song,Sisqo,"contemporary r&b,dirty south rap,hip pop,r&b,urban contemporary"
Still Standing - Radio Edit,Hilltop Hoods,australian hip hop
Here I Am (Come And Take Me),UB40,"reggae fusion,uk reggae"
Under the Bridge,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave,rock"
I Believe I Can Fly,R. Kelly,
On And On And On,ABBA,"europop,swedish pop"
Let Her Cry,Hootie & The Blowfish,"heartland rock,pop rock,post-grunge"
Boppin' the Blues,Blackfeather,psychedelic blues-rock
The Worlds Greatest Mum,Johnny Chester,"australian country,classic australian country"
Mirror Man,The Human League,"new romantic,new wave,new wave pop,permanent wave,sophisti-pop,synthpop"
Body Like A Back Road,Sam Hunt,"contemporary country,country,country pop"
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,"emo,modern rock,pop,pop punk,rock"
I'm Not Over,Carolina Liar,"modern alternative rock,neo mellow,oth indie"
People Everyday - Metamorphosis Mix,Arrested Development,"atl hip hop,conscious hip hop,hip hop,old school atlanta hip hop"
Up/Down,Jessica Mauboy,"australian indigenous,australian pop,australian talent show"
Khe Sanh,Cold Chisel,australian rock
Turn Off The Light,Nelly Furtado,"canadian latin,canadian pop,dance pop,pop"
The One Thing,INXS,"australian rock,dance rock,funk rock,new romantic,new wave,rock"
Smile,Lily Allen,"dance pop,electropop"
Tell It to My Heart,Taylor Dayne,"hi-nrg,new romantic,new wave pop,soft rock,synthpop"
Familiar,"Liam Payne, J Balvin","pop,reggaeton,reggaeton colombiano,trap latino,urbano latino"
My Girl,The Temptations,"memphis soul,motown,soul"
Summer (The First Time),Bobby Goldsboro,"adult standards,bubblegum pop,easy listening,merseybeat,rock-and-roll"
I Feel for You,Chaka Khan,"disco,funk,neo soul,quiet storm,soul"
Love Hurts - Single Edit,Nazareth,"album rock,classic rock,glam metal,hard rock,rock"
With Arms Wide Open,Creed,"alternative metal,nu metal,post-grunge,rock"
Don't Dream It's Over,Crowded House,"australian rock,permanent wave"
Play That Funky Music,Wild Cherry,"disco,funk rock"
I Love to Love (But My Baby Loves to Dance),Tina Charles,"disco,hi-nrg"
Cruel Intentions,Simian Mobile Disco,"alternative dance,electrofox,electronica,filter house,indietronica,neo-synthpop,new rave"
GAW - Zaheer Remix,"Mickie James, Chapel Hart, Zaheer","wrestling,black americana"
Ain't It Funny,Jennifer Lopez,"dance pop,pop,urban contemporary"
Anchor,Birds Of Tokyo,"australian alternative rock,australian indie,australian pop,australian rock,perth indie"
Breakaway,Big Pig,"australian rock,double drumming"
Sounds Of Then (This Is Australia),GANGgajang,australian rock
"No More ""I Love You's""",Annie Lennox,"new romantic,new wave,new wave pop,singer-songwriter,soft rock,synthpop"
It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez","edm,pop,pop dance,tropical house,pop,post-teen pop"
I Miss You,blink-182,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk"
Love Long Distance,Gossip,"alternative dance,electroclash,olympia wa indie"
Never Be Like You,"Flume, kai","australian dance,australian electropop,australian indie,downtempo,edm,indietronica"
You've Not Changed,Sandie Shaw,british invasion
Light Switch,Charlie Puth,"pop,viral pop"
What A Man Gotta Do,Jonas Brothers,"boy band,pop"
Endless Summer Nights,Richard Marx,"new wave pop,soft rock"
Chulu Chululu,Bill & Boyd,
Take Five,The Dave Brubeck Quartet,"bebop,jazz,jazz quartet"
Parachute,Timomatic,"australian pop,australian talent show"
Shooting Stars,Bag Raiders,"alternative dance,australian dance,indietronica"
Savior,Rise Against,"alternative metal,chicago hardcore,chicago punk,hardcore punk,modern rock,nu metal,pop punk,post-grunge,punk"
Keeping Score (feat. Paige IV),"L D R U, Paige IV",australian dance
I Will Never Let You Down,Rita Ora,"dance pop,pop,uk pop"
Wonderful Life,Hurts,"metropopolis,neo-synthpop"
Don't Say Nothin' Bad (About My Baby),The Cookies,"classic girl group,sunshine pop"
Like a Stone,Audioslave,"alternative metal,alternative rock,grunge,hard rock,nu metal,permanent wave,post-grunge,rock,supergroup"
I Love The Nightlife (Disco 'Round),Alicia Bridges,disco
Release Me,Agnes,"swedish electropop,swedish idol pop,swedish pop"
One More Night - 2016 Remaster,Phil Collins,"rock drums,soft rock"
Al di là,Emilio Pericoli,swing italiano
Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande","art pop,dance pop,pop,pop"
If I'm Lucky,Jason Derulo,"dance pop,pop"
You And I,Lady Gaga,"art pop,dance pop,pop"
Alice Long (You're Still My Favorite Girlfriend) - Mono Version,"Tommy Boyce, Bobby Hart","bubblegum pop,brill building pop"
Surrender,Cheap Trick,"album rock,beatlesque,classic rock,glam metal,glam rock,hard rock,heartland rock,mellow gold,power pop,rock,soft rock"
Just Feel Better (feat. Steven Tyler),"Santana, Steven Tyler","blues rock,classic rock,mexican classic rock,modern country rock"
Don't Dream It's Over,Crowded House,"australian rock,permanent wave"
Broken Arrows,Avicii,"edm,pop,pop dance"
Save the Last Dance for Me,The Drifters,"adult standards,doo-wop,rock-and-roll,rockabilly,soul"
Be the One,Dua Lipa,"dance pop,pop,uk pop"
Fireball (feat. John Ryan),"Pitbull, John Ryan","dance pop,miami hip hop,pop"
"Someday, One Day",The Seekers,british invasion
Mirrors - Radio Edit,Justin Timberlake,"dance pop,pop"
Do You Wanna Touch Me? (Oh Yeah!),Gary Glitter,
Best of You,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
The Last Time,The Script,"celtic rock,pop"
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc","dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,atl hip hop,crunk,dirty south rap,southern hip hop,trap"
You Really Got Me,The Kinks,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter"
Young Hearts Run Free,Candi Staton,southern soul
Tainted Love,Soft Cell,"new romantic,new wave,new wave pop,synthpop"
Growin' Up and Gettin' Old,Luke Combs,"contemporary country,country"
Fancy,"Iggy Azalea, Charli XCX","australian hip hop,dance pop,pop,art pop,candy pop,metropopolis,pop,uk pop"
Ain't Telling The Truth,Bluejuice,"australian alternative rock,australian indie"
Magic Carpet Ride,Steppenwolf,"acid rock,album rock,blues rock,british blues,classic canadian rock,classic rock,hard rock,proto-metal,rock,singer-songwriter,soft rock"
Jesus Is a Soul Man,Lawrence Reynolds,country gospel
Who You Love (feat. Katy Perry),"John Mayer, Katy Perry","neo mellow,singer-songwriter,pop"
I Can't Make You Love Me,Bonnie Raitt,"country rock,electric blues,folk,folk rock,heartland rock,mellow gold,singer-songwriter"
When I Was Young,Eric Burdon & the Animals,"british blues,british invasion,classic rock,folk rock"
Make Luv,"Room 5, Oliver Cheatham","disco house,vocal house,post-disco"
Foolish,Ashanti,"dance pop,hip pop,r&b,urban contemporary"
Let's Groove,"Earth\, Wind & Fire","disco,funk,jazz funk,soul"
Wishin' And Hopin',Dusty Springfield,"adult standards,british invasion,soul"
Oh Carolina,Shaggy,"dance pop,pop rap,reggae fusion"
Jump - 2004 Remaster,Van Halen,"album rock,classic rock,hard rock,rock"
Popcorn,Hot Butter,"early synthpop,moog"
Stay With Me,Sam Smith,"pop,uk pop"
The Reeling,Passion Pit,"indie rock,indietronica,modern rock,neo-synthpop,shimmer pop"
Hard To Get To Love,Chris Sebastian,"australian pop,australian talent show"
Milkshake,Kelis,"dance pop,hip pop,neo soul,urban contemporary"
Purple Pills,D12,"detroit hip hop,gangster rap,hip hop"
Thnks fr th Mmrs,Fall Out Boy,"emo,modern rock,pop,pop punk,rock"
Tik Tok (Parody),The Midnight Beast,comic
Greenlight (feat. Flo Rida & LunchMoney Lewis),"Pitbull, Flo Rida, LunchMoney Lewis","dance pop,miami hip hop,pop,dance pop,miami hip hop,pop,pop rap,miami hip hop"
This Guy's In Love With You,Herb Alpert & The Tijuana Brass,"easy listening,lounge"
Talk Is Cheap,Chet Faker,"art pop,indietronica"
Step Back,Johnny Young & Kompany,
Gloria,Laura Branigan,"new romantic,new wave pop,soft rock,synthpop"
Movin' Up,Dreamworld,
Hand on Your Heart,Kylie Minogue,"australian dance,australian pop,dance pop,eurodance,new wave pop"
2 Times - Original,Ann Lee,"eurodance,hip house,italo dance"
Help I'm Alive,Metric,"canadian indie,canadian rock,indie rock,indietronica,metropopolis,neo-synthpop"
I Don't Like It,Pauline Pantsdown,parody
Mr. Saxobeat - Radio Edit,Alexandra Stan,romanian pop
Mirror (feat. Wrabel),"Illy, Wrabel","australian hip hop,australian trap,alt z"
Thong Song,Sisqo,"contemporary r&b,dirty south rap,hip pop,r&b,urban contemporary"
Crazy Little Thing Called Love - Remastered 2011,Queen,"classic rock,glam rock,rock"
Mississippi - Single Version,John Phillips,cosmic american
I'm an Albatraoz,"AronChupa, Little Sis Nora","swedish pop,melbourne bounce international"
You Can't Hurry Love - 2016 Remaster,Phil Collins,"rock drums,soft rock"
Love to Love You,The Corrs,"celtic rock,europop,pop rock"
I Wanna Be Around...,Tony Bennett,"adult standards,easy listening,lounge,vocal jazz"
Bumble Bee - Mono Version,The Searchers,"british invasion,rock-and-roll"
Head over Feet - 2015 Remaster,Alanis Morissette,"canadian pop,canadian singer-songwriter,lilith,neo mellow,pop rock,singer-songwriter"
One Call Away,Charlie Puth,"pop,viral pop"
Walking On A Dream,Empire of the Sun,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop"
Last Christmas,Wham!,"new romantic,new wave,new wave pop,soft rock"
Black Suits Comin' (Nod Ya Head),"Will Smith introducing TRÂ-KNOX, Traknox",
The Star,Ross D. Wylie,
I Will Return,Springwater,
Seasons in the Sun,Terry Jacks,classic uk pop
Viva Forever,Spice Girls,"dance pop,girl group,pop"
Run Baby Run,Deadstar,australian alternative rock
Some People,Cliff Richard,"adult standards,rock-and-roll"
New Perspective,Panic! At The Disco,pop
How To Be Lonely,Rita Ora,"dance pop,pop,uk pop"
Dance Monkey,Tones And I,australian pop
Kung Fu Fighting,Carl Douglas,
Falling to Pieces,Faith No More,"alternative metal,alternative rock,funk metal,funk rock,hard rock,nu metal,post-grunge,rap metal,rock"
Back Home,Andy Grammer,"neo mellow,post-teen pop"
My My My,Armand Van Helden,"big beat,deep house,disco house,house,speed garage,uk dance,vocal house"
Memories (feat. Kid Cudi),"David Guetta, Kid Cudi","big room,dance pop,edm,pop,pop dance,hip hop,ohio hip hop,pop rap,rap"
10:35,"Tiësto, Tate McRae","big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,alt z,pop"
Tin Soldier (Stereo),Small Faces,"british blues,british invasion,protopunk"
Hot N Cold,Katy Perry,pop
You Are Everything,"The Stylistics, Russell Thompkins\, Jr.","classic soul,disco,funk,motown,philly soul,quiet storm,soul"
Only You Can Love Me This Way,Keith Urban,"australian country,australian pop,contemporary country,country,country road"
You Are The Reason,Calum Scott,pop
With Or Without You,U2,"irish rock,permanent wave,rock"
We Run The Night,"Havana Brown, Pitbull","australian dance,australian pop,dance pop,miami hip hop,pop"
Smoke on the Water - 1997 Remaster,Deep Purple,"album rock,classic rock,hard rock,metal,rock"
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,canadian pop
The River of Dreams,Billy Joel,"album rock,classic rock,heartland rock,mellow gold,piano rock,rock,singer-songwriter,soft rock"
Locked out of Heaven,Bruno Mars,"dance pop,pop"
All Good Things (Come To An End) - Radio Edit,Nelly Furtado,"canadian latin,canadian pop,dance pop,pop"
Shackles (Praise You),Mary Mary,"gospel,gospel r&b"
Calm Down (with Selena Gomez),"Rema, Selena Gomez","afrobeats,nigerian pop,pop,post-teen pop"
One Four Five,The Cat Empire,"australian reggae fusion,australian ska,ska jazz"
Most People I Know,Billy Thorpe & The Aztecs,australian rock
I Feel Love,Donna Summer,"adult standards,disco,hi-nrg,new wave pop,soft rock"
Don't Stand So Close To Me - Remastered 2003,The Police,"album rock,classic rock,permanent wave,rock"
Hey Boy Hey Girl,The Chemical Brothers,"alternative dance,big beat,breakbeat,electronica,rave,trip hop"
Freedom,Pharrell Williams,"dance pop,pop"
Another Funny Honeymoon,David Dundas,classic uk pop
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee","dfw rap,melodic rap,pop,rap,melodic rap,rap,trap"
Brother,Matt Corby,australian indie
Children Of The Revolution,T. Rex,"classic rock,glam rock,protopunk,rock"
The Birds and the Bees,Jewel Akens,
Everybody Rise,Amy Shark,australian pop
Party Lights,Claudine Clark,
If I Ain't Got You,Alicia Keys,"neo soul,pop,r&b"
There She Goes,"Taio Cruz, Pitbull","dance pop,pop,pop rap,dance pop,miami hip hop,pop"
Players,Coi Leray,"new jersey underground rap,trap queen"
Breaking the Girl,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave,rock"
Tattoo,Jordin Sparks,"dance pop,pop,post-teen pop"
"Puff, the Magic Dragon","Peter\, Paul and Mary","american folk revival,folk,folk rock,mellow gold,singer-songwriter,soft rock"
Brandy - Rerecorded 1972,Scott English,
No Secrets,The Angels,australian rock
He Don't Love You - Remastered,Human Nature,"australian pop,australian rock,boy band"
Love Don't Cost a Thing,Jennifer Lopez,"dance pop,pop,urban contemporary"
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,pop
Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos","dance pop,edm,electro house,house,pop,progressive house,uk dance,lgbtq+ hip hop,neo soul,atl hip hop,hip hop,rap,trap"
Wind Beneath My Wings,Bette Midler,"adult standards,new wave pop,soft rock"
Start Me Up - 2009 Re-Mastered Digital Version,The Rolling Stones,"album rock,british invasion,classic rock,rock"
I Want You,Toni Pearen,australian pop
Stars Are Blind,Paris Hilton,"dance pop,post-teen pop"
7 rings,Ariana Grande,pop
Day and Night,Billie Piper,"bubblegum dance,europop,talent show"
Work - Freemasons Radio Edit,Kelly Rowland,"atl hip hop,dance pop,hip pop,r&b,urban contemporary"
Time After Time,Cyndi Lauper,"dance pop,new wave pop,permanent wave,soft rock"
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne","pop,uk dance,uk funky,pop,uk pop"
There's Nothing I Won't Do,JX,
Rock and Roll - 1990 Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
Don't Worry Be Happy,Guy Sebastian,"australian pop,australian talent show"
Puttin' on the Ritz,Taco,
Neutron Star Collision (Love Is Forever) - Soundtrack Version,Muse,"modern rock,permanent wave,rock"
Sexual,"NEIKED, Dyo","scandipop,alte"
When I'm Gone,Eminem,"detroit hip hop,hip hop,rap"
You Were Meant For Me,Jewel,"alaska indie,ectofolk,lilith,permanent wave,pop rock,singer-songwriter"
Touch Me In The Morning - First Pressing Single Version,Diana Ross,"adult standards,disco,motown,quiet storm,soft rock,soul"
Honky Tonk Women - Mono Version,The Rolling Stones,"album rock,british invasion,classic rock,rock"
Overkill,Men At Work,"album rock,australian rock,classic rock,hard rock,heartland rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock"
Suddenly I See,KT Tunstall,"lilith,neo mellow,pop rock,scottish singer-songwriter"
Baby Workout,Jackie Wilson,"chicago soul,classic soul,rock-and-roll,soul"
Down Boy - Radio Edit,Holly Valance,"australian pop,bubblegum dance,europop,talent show"
I'm Sorry,John Denver,"classic country pop,folk,folk rock,mellow gold,singer-songwriter,soft rock"
Take Your Shirt Off,T-Pain,"dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary"
Now Or Never,Halsey,"electropop,etherpop,indie poptimism,pop"
Love Somebody,Maroon 5,pop
Superstar,"Tim Rice, Andrew Lloyd Webber, Murray Head, The Trinidad Singers","broadway,west end,new wave pop"
One More Chance,Bloc Party,"alternative dance,alternative rock,dance-punk,indie rock,indietronica,modern rock,new rave,scottish rock"
Right By Your Side - Remastered Version,"Eurythmics, Annie Lennox, Dave Stewart","dance rock,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop,new romantic,new wave,new wave pop,singer-songwriter,soft rock,synthpop,new wave pop,rock keyboard"
Cuddly Toy - 2007 Remaster,The Monkees,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,heartland rock,mellow gold,psychedelic rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop"
Nervous,Gavin James,irish pop
Buy Me A Pony,Spiderbait,"australian alternative rock,australian rock"
Groovin',The Young Rascals,"bubblegum pop,classic garage rock,country rock,folk rock,merseybeat,psychedelic rock,rock-and-roll,singer-songwriter"
Elastic Heart,Sia,"australian dance,australian pop,pop"
If I Know You,The Presets,"alternative dance,australian dance,australian indie"
Can't Buy Me Love - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
People Everyday - Metamorphosis Mix,Arrested Development,"atl hip hop,conscious hip hop,hip hop,old school atlanta hip hop"
Look What You've Done,Jet,"garage rock,modern rock,pop rock"
Change in Mood,Kids In The Kitchen,australian rock
Mercy,Shawn Mendes,"canadian pop,pop,viral pop"
Zoom,Last Dinosaurs,
"Bad, Bad Leroy Brown",Jim Croce,"classic rock,country rock,folk,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock"
Portrait of My Love,Steve Lawrence,"adult standards,easy listening"
Little Town Flirt,Del Shannon with Orchestra,
Next To Me,Emeli Sandé,"r&b,talent show"
Dreaming of You,The Coral,britpop
Dear One,Larry Finnegan,
End Of The Road,Boyz II Men,"boy band,contemporary r&b,new jack swing,r&b,urban contemporary"
I'm With You - Single Edit,Vance Joy,"folk-pop,modern rock"
Reunited,Peaches & Herb,"classic soul,disco,funk,post-disco,quiet storm,soul"
Bright Eyes,Art Garfunkel,"folk,folk rock,mellow gold,soft rock"
Cats In The Cradle,Ugly Kid Joe,"funk metal,funk rock,glam metal,hard rock"
Oh Sherrie,Steve Perry,"album rock,heartland rock,mellow gold,new wave pop,soft rock,yacht rock"
First Time,"Kygo, Ellie Goulding","edm,pop,pop dance,tropical house,indietronica,metropopolis,pop,uk pop"
Warm Ride,Graham Bonnet,
Special,Garbage,"alternative rock,dance rock,electronic rock,permanent wave"
I Fall Apart,Post Malone,"dfw rap,melodic rap,pop,rap"
Baby Jane - 2008 Remaster,Rod Stewart,"mellow gold,soft rock"
Waterfalls,Timomatic,"australian pop,australian talent show"
Don't Give Me Your Life - Radio Version,Alex Party,"diva house,eurodance,hip house,italo house"
When It All Falls Apart,The Veronicas,"australian pop,candy pop,dance pop,girl group,post-teen pop"
Buddy Holly,Weezer,"alternative rock,modern power pop,modern rock,permanent wave,rock"
1 2 3 Red Light,1910 Fruitgum Company,"bubblegum pop,classic garage rock,merseybeat"
Star Trekkin' - Original Radio Version,The Firm,
I Just Don't Know What To Do With Myself,Marcia Hines,"australian dance,australian pop,australian rock"
Wish You Were Here - 2011 Remastered Version,Pink Floyd,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock"
Love Runs Out,OneRepublic,"piano rock,pop"
What Is Life - Remastered 2014,George Harrison,"album rock,beatlesque,classic rock,folk rock,mellow gold,rock,singer-songwriter,soft rock"
Push,Matchbox Twenty,"neo mellow,pop rock,post-grunge"
God Only Knows,Michael Bublé,"adult standards,canadian pop,jazz pop,lounge"
That Don't Impress Me Much,Shania Twain,"canadian country,canadian pop,contemporary country,country,country dawn"
Rhythm Of Life,"Diana Ross, The Temptations","adult standards,disco,motown,quiet storm,soft rock,soul,memphis soul,motown,soul"
Now You're In Heaven,Julian Lennon,"beatlesque,new wave pop"
On Call,Kings of Leon,"modern rock,rock"
Wand'rin' Star,Lee Marvin,
Wonderful Life,Black,
Your Song,Elton John,"glam rock,mellow gold,piano rock,rock"
Mambo No. 5 (A Little Bit of...),Lou Bega,latin pop
I Like It,"Cardi B, Bad Bunny, J Balvin","pop,rap,reggaeton,trap latino,urbano latino,reggaeton,reggaeton colombiano,trap latino,urbano latino"
Any Dream Will Do,Max Bygraves,british comedy
Will You Love Me Tomorrow,The Shirelles,"classic girl group,doo-wop,motown,rock-and-roll,soul"
Sail,AWOLNATION,"la indie,modern alternative rock,modern rock,rock,stomp pop"
Bloodstream,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
Rump Shaker,Wreckx-N-Effect,"contemporary r&b,miami bass,new jack swing"
I Drove All Night,Cyndi Lauper,"dance pop,new wave pop,permanent wave,soft rock"
Better - Remastered,The Screaming Jets,australian rock
Guitar Band,Stevie Wright,australian rock
What If,Jason Derulo,"dance pop,pop"
Million Dollar Riff - 2015 Version,Skyhooks,"australian rock,glam rock"
We Are Golden,MIKA,pop rock
Get Down On It,Kool & The Gang,"disco,funk,motown,soul"
She's Got That Vibe,"R. Kelly, Public Announcement","contemporary r&b,new jack swing"
Love Like This,Natalie Bassingthwaighte,"australian dance,australian pop,australian rock"
Good For You,"Selena Gomez, A$AP Rocky","pop,post-teen pop,east coast hip hop,hip hop,rap,trap"
Thumbs,Sabrina Carpenter,pop
Easy,Faith No More,"alternative metal,alternative rock,funk metal,funk rock,hard rock,nu metal,post-grunge,rap metal,rock"
Don't You Know - Radio Edit,"Kungs, Jamie N Commons","edm,pop dance,modern blues rock"
Dreams,"Jolyon Petch, Reigan","australian house,deep tropical house,australian pop"
All I Hear,Kate Alexa,
Payphone - Edit,"Maroon 5, Wiz Khalifa","pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap"
Peek a Boo,New Vaudeville Band,"british invasion,vaudeville"
If Tomorrow Never Comes,Ronan Keating,europop
I'm Gonna Be (500 Miles),The Proclaimers,"celtic rock,scottish rock"
How Sweet It Is,Michael Paynter,
when the party's over,Billie Eilish,"art pop,electropop,pop"
Sugar Me,Lynsey De Paul,classic uk pop
Ruby Baby,Dion,"doo-wop,rock-and-roll,rockabilly"
Down (feat. Gucci Mane),"Fifth Harmony, Gucci Mane","girl group,pop,talent show,atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap"
Lost on You,LP,"la pop,women's music"
Hula Hoop,OMI,reggae fusion
Because of You,Kelly Clarkson,"dance pop,pop,talent show"
Not Ready to Make Nice,The Chicks,"contemporary country,country,country dawn"
Lonely,Akon,dance pop
St. Elmos Fire (Man in Motion),John Parr,new wave pop
Boom Boom (Let's Go Back to My Room) - Rerecorded,Paul Lekakis,hi-nrg
Great Wall,Boom Crash Opera,australian rock
Love In The Dark,Adele,"british soul,pop,pop soul,uk pop"
Case Of The Ex (Whatcha Gonna Do),Mýa,"contemporary r&b,hip pop,r&b,urban contemporary"
Get Down (You're the One for Me) - LP Edit No Rap,Backstreet Boys,"boy band,dance pop,pop"
Saved in a Bottle - Radio Edit,The Potbelleez,"aussietronica,australian dance,australian house,australian pop"
Yellow,Coldplay,"permanent wave,pop"
Threnody (Bombs Away Remix),Naeleck,electro
The Lion Sleeps Tonight,Tight Fit,new wave pop
SNAP,Rosa Linn,alt z
Diggin' On You,TLC,"atl hip hop,contemporary r&b,dance pop,girl group,hip pop,r&b,urban contemporary"
Feelin' Way Too Damn Good,Nickelback,"alternative metal,canadian rock,post-grunge"
B-52,Near Mrs,
Pony,Kasey Chambers,"australian americana,australian country,australian rock"
Jump in My Car,Ted Mulry Gang,australian rock
Everybody's Somebody's Fool,Connie Francis,"adult standards,brill building pop,easy listening,rock-and-roll,rockabilly"
Never Forget You,"Zara Larsson, MNEK","pop,scandipop,swedish electropop,swedish pop,house,pop dance,uk contemporary r&b,uk dance,uk pop"
Sexy Eyes - Single Version,Whigfield,"diva house,eurodance,europop"
7 Minutes,Dean Lewis,"australian pop,pop"
Doctor Jones,Aqua,"bubblegum dance,dance pop,eurodance,europop"
U Got It Bad,Usher,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary"
2002,Anne-Marie,pop
Endless Love (Glee Cast Version),Glee Cast,"glee club,post-teen pop"
Hey Now,"Martin Solveig, The Cataracs, KYLE","disco house,edm,electro house,filter house,house,pop dance,vocal house,deep underground hip hop,indie pop rap,pop rap,viral trap"
Runnin' Down A Dream,Tom Petty and the Heartbreakers,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
All The Things She Said,t.A.T.u.,"dance pop,europop,girl group"
I Want To Be Straight,Ian Dury & The Blockheads,pub rock
I Need Somebody,Bardot,australian pop
Hurts So Good,Astrid S,"alt z,norwegian pop,pop,uk pop"
Michael (Row The Boat Ashore),The Highwaymen,
Who Do U Love,Deborah Cox,"canadian pop,contemporary r&b,r&b,urban contemporary,vocal house"
Jam up Jelly Tight (Rerecorded),Tommy Roe,"bubblegum pop,classic garage rock,merseybeat,rock-and-roll"
Fever for the Flava,Hot Action Cop,"funk metal,rap rock"
Good Day,Hayley Warner,
Wild Thing,Tone-Loc,"hip hop,miami bass"
Mama's Little Girl,Linda George,
Weapon Of Choice,Fatboy Slim,"big beat,electronica"
Don't Leave Me This Way,Thelma Houston,"disco,diva house,motown,post-disco"
Smooth (feat. Rob Thomas),"Santana, Rob Thomas","blues rock,classic rock,mexican classic rock,neo mellow,pop rock,post-grunge"
Switch,Will Smith,"hip hop,pop rap"
Let's Think About Living,Bob Luman,rockabilly
Imma Be,Black Eyed Peas,"dance pop,pop,pop rap"
Rehab,Amy Winehouse,"british soul,neo soul"
All In It,Justin Bieber,"canadian pop,pop"
Sorry,Justin Bieber,"canadian pop,pop"
Passengers,Elton John,"glam rock,mellow gold,piano rock,rock"
Stand Tall,Burton Cummings,"canadian singer-songwriter,classic canadian rock"
Love Me Like I Love You,Bay City Rollers,bubblegum pop
Kings of the World,Mississippi,
Mess Her Up,Amy Shark,australian pop
Next To You (feat. Justin Bieber),"Chris Brown, Justin Bieber","r&b,rap,canadian pop,pop"
We Belong Together,Mariah Carey,"dance pop,pop,urban contemporary"
Bent - 2007 Remaster,Matchbox Twenty,"neo mellow,pop rock,post-grunge"
Achy Breaky Heart,Billy Ray Cyrus,country rock
I Started A Joke,Bee Gees,"disco,mellow gold,soft rock"
Don't Stop Movin',S Club 7,"dance pop,europop,talent show"
Never Give Up,Sia,"australian dance,australian pop,pop"
You - Remastered,Marcia Hines,"australian dance,australian pop,australian rock"
Wake Me Up,Avicii,"edm,pop,pop dance"
Terrible Love,Birdy,"neo mellow,uk pop"
Go Your Own Way - 2004 Remaster,Fleetwood Mac,"album rock,classic rock,rock,soft rock,yacht rock"
One Sweet Day,"Mariah Carey, Boyz II Men","dance pop,pop,urban contemporary,boy band,contemporary r&b,new jack swing,r&b,urban contemporary"
The Fly,Chubby Checker,"rock-and-roll,rockabilly"
When I'm Sixty Four - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
You Get What You Give,New Radicals,pop rock
Without You (feat. Usher),"David Guetta, Usher","big room,dance pop,edm,pop,pop dance,atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary"
